store_id,product_id,date,units_sold,units_restocked,ending_inventory,units_short
Store_1,Product_1,2024-01-01,5,99,154,0
Store_1,Product_1,2024-01-02,7,28,175,0
Store_1,Product_1,2024-01-03,5,0,170,0
Store_1,Product_1,2024-01-04,7,0,163,0
Store_1,Product_1,2024-01-05,8,0,155,0
Store_1,Product_1,2024-01-06,8,0,147,0
Store_1,Product_1,2024-01-07,5,55,197,0
Store_1,Product_1,2024-01-08,1,0,196,0
Store_1,Product_1,2024-01-09,5,0,191,0
Store_1,Product_1,2024-01-10,5,0,186,0
Store_1,Product_1,2024-01-11,5,0,181,0
Store_1,Product_1,2024-01-12,4,0,177,0
Store_1,Product_1,2024-01-13,7,0,170,0
Store_1,Product_1,2024-01-14,6,0,164,0
Store_1,Product_1,2024-01-15,5,0,159,0
Store_1,Product_1,2024-01-16,4,0,155,0
Store_1,Product_1,2024-01-17,3,0,152,0
Store_1,Product_1,2024-01-18,3,0,149,0
Store_1,Product_1,2024-01-19,6,0,143,0
Store_1,Product_1,2024-01-20,2,0,141,0
Store_1,Product_1,2024-01-21,3,0,138,0
Store_1,Product_1,2024-01-22,5,0,133,0
Store_1,Product_1,2024-01-23,3,0,130,0
Store_1,Product_1,2024-01-24,11,49,168,0
Store_1,Product_1,2024-01-25,2,0,166,0
Store_1,Product_1,2024-01-26,6,0,160,0
Store_1,Product_1,2024-01-27,10,0,150,0
Store_1,Product_1,2024-01-28,7,0,143,0
Store_1,Product_1,2024-01-29,3,70,210,0
Store_1,Product_1,2024-01-30,6,0,204,0
Store_1,Product_1,2024-01-31,6,14,212,0
Store_1,Product_1,2024-02-01,9,36,239,0
Store_1,Product_1,2024-02-02,3,74,310,0
Store_1,Product_1,2024-02-03,6,0,304,0
Store_1,Product_1,2024-02-04,3,67,368,0
Store_1,Product_1,2024-02-05,7,0,361,0
Store_1,Product_1,2024-02-06,3,0,358,0
Store_1,Product_1,2024-02-07,5,0,353,0
Store_1,Product_1,2024-02-08,5,25,373,0
Store_1,Product_1,2024-02-09,5,0,368,0
Store_1,Product_1,2024-02-10,3,0,365,0
Store_1,Product_1,2024-02-11,11,42,396,0
Store_1,Product_1,2024-02-12,7,0,389,0
Store_1,Product_1,2024-02-13,7,0,382,0
Store_1,Product_1,2024-02-14,5,0,377,0
Store_1,Product_1,2024-02-15,1,0,376,0
Store_1,Product_1,2024-02-16,7,32,401,0
Store_1,Product_1,2024-02-17,4,0,397,0
Store_1,Product_1,2024-02-18,5,0,392,0
Store_1,Product_1,2024-02-19,7,0,385,0
Store_1,Product_1,2024-02-20,5,0,380,0
Store_1,Product_1,2024-02-21,3,76,453,0
Store_1,Product_1,2024-02-22,6,0,447,0
Store_1,Product_1,2024-02-23,3,0,444,0
Store_1,Product_1,2024-02-24,4,0,440,0
Store_1,Product_1,2024-02-25,0,45,485,0
Store_1,Product_1,2024-02-26,4,99,580,0
Store_1,Product_1,2024-02-27,3,0,577,0
Store_1,Product_1,2024-02-28,4,0,573,0
Store_1,Product_1,2024-02-29,4,0,569,0
Store_1,Product_1,2024-03-01,7,0,562,0
Store_1,Product_1,2024-03-02,4,0,558,0
Store_1,Product_1,2024-03-03,2,0,556,0
Store_1,Product_1,2024-03-04,3,33,586,0
Store_1,Product_1,2024-03-05,4,0,582,0
Store_1,Product_1,2024-03-06,1,60,641,0
Store_1,Product_1,2024-03-07,7,0,634,0
Store_1,Product_1,2024-03-08,4,0,630,0
Store_1,Product_1,2024-03-09,2,0,628,0
Store_1,Product_1,2024-03-10,3,82,707,0
Store_1,Product_1,2024-03-11,7,84,784,0
Store_1,Product_1,2024-03-12,3,73,854,0
Store_1,Product_1,2024-03-13,8,0,846,0
Store_1,Product_1,2024-03-14,7,0,839,0
Store_1,Product_1,2024-03-15,6,24,857,0
Store_1,Product_1,2024-03-16,8,75,924,0
Store_1,Product_1,2024-03-17,5,0,919,0
Store_1,Product_1,2024-03-18,4,0,915,0
Store_1,Product_1,2024-03-19,5,0,910,0
Store_1,Product_1,2024-03-20,4,0,906,0
Store_1,Product_1,2024-03-21,3,0,903,0
Store_1,Product_1,2024-03-22,8,0,895,0
Store_1,Product_1,2024-03-23,5,0,890,0
Store_1,Product_1,2024-03-24,6,0,884,0
Store_1,Product_1,2024-03-25,3,0,881,0
Store_1,Product_1,2024-03-26,4,0,877,0
Store_1,Product_1,2024-03-27,6,0,871,0
Store_1,Product_1,2024-03-28,7,10,874,0
Store_1,Product_1,2024-03-29,5,0,869,0
Store_1,Product_1,2024-03-30,5,0,864,0
Store_1,Product_1,2024-03-31,3,0,861,0
Store_1,Product_1,2024-04-01,13,0,848,0
Store_1,Product_1,2024-04-02,2,32,878,0
Store_1,Product_1,2024-04-03,8,21,891,0
Store_1,Product_1,2024-04-04,7,0,884,0
Store_1,Product_1,2024-04-05,4,0,880,0
Store_1,Product_1,2024-04-06,4,0,876,0
Store_1,Product_1,2024-04-07,1,0,875,0
Store_1,Product_1,2024-04-08,4,0,871,0
Store_1,Product_1,2024-04-09,1,0,870,0
Store_1,Product_1,2024-04-10,8,0,862,0
Store_1,Product_1,2024-04-11,4,0,858,0
Store_1,Product_1,2024-04-12,8,0,850,0
Store_1,Product_1,2024-04-13,7,0,843,0
